7zip 24.09-3
a52dec 0.8.0-2
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
ani-cli 4.9-1
aom 3.11.0-1
appimagelauncher-debug 2.2.0-8
appstream 1.0.4-1
aquamarine 0.6.0-1
arc-gtk-theme 20221218-2
arch-update 3.4.2-1
archlinux-contrib 20241215-2
archlinux-keyring 20241203-1
argon2 20190702-6
aria2 1.37.0-1
aribb24 1.0.3-4
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
audacity 1:3.7.1-1
audit 4.0.2-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bat 0.24.0-2
bats 1.11.1-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blackarch-keyring 20180925-5
bleachbit 4.6.2-2
blueprint-compiler 0.14.0-3
bluez 5.79-1
bluez-libs 5.79-1
bluez-utils 5.79-1
boost 1.86.0-4
boost-libs 1.86.0-4
botan 3.6.1-2
breeze-icons 6.9.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.0-4
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calibre 7.23.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.3-2
cbonsai 1.3.1-3
chatterino2-git 2.5.2.beta.1.r4.gbecc100-1
chmlib 0.40-8
clang 18.1.8-5
cliphist 1:0.6.1-1
cmake 3.31.3-1
cmatrix 2.0-3
colord 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
containerd 2.0.1-1
coreutils 9.5-2
cppdap 1.58.0-2
cryptsetup 2.7.5-1
curl 8.11.1-3
dav1d 1.5.0-1
db5.3 5.3.28-5
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
ddrescue 1.29-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.29-1
diffutils 3.10-1
discord 0.0.79-1
docker 1:27.3.1-1
double-conversion 3.3.0-2
duktape 2.7.0-7
dunst 1.12.1-1
e2fsprogs 1.47.2-1
efibootmgr 18-3
efivar 39-1
electron 1:33-1
electron22-bin 22.3.27-4
electron33 33.3.1-1
enchant 2.8.2-1
exempi 2.6.5-1
exiv2 0.28.3-1
exo 4.20.0-2
expat 2.6.4-1
extundelete 0.2.4-2
faad2 2.11.1-1
fakeroot 1.36.2-1
fastfetch 2.33.0-1
ffmpeg 2:7.1-5
ffmpeg4.4 4.4.5-2
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 133.0.3-2
flac 1.4.3-2
flatpak 1:1.15.91-1
flex 2.6.4-5
fmt 11.1.1-2
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.57.0-1
gammastep 2.0.9-7
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
gcr 3.41.2-2
gcr-4 4.3.0-1
gdbm 1.24-1
